i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       deuteron_D     deuteron_T     He3_D          He3_T          alpha_D        alpha_T        Li6_D          Li6_T          Be8_D          Be8_T          C12_D          C12_T          C13_D          C13_T          N15_D          N15_T          O15_D          O15_T          O16_D          O16_T          
71	0	0	2.39741        1.51215        1.51176        1.42315        14.6388        9.1549         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
72	0	0	48.8162        2.15005        1.51024        1.42754        20.4167        10.1611        0              0              92.1038        72.592         0              0              0              0              0              0              0              0              586.826        474.22         0              0              0              0              0              0              
73	0	0	3.61984        1.55767        1.51438        1.43241        24.3612        12.2654        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
74	0	0	1.67024        1.44986        1.53969        1.43739        3.15143        3.15143        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              86.0431        86.0431        
75	0	0	1.55246        1.45372        1.52687        1.44248        3.22169        3.22169        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
76	0	0	1.57256        1.45946        1.54729        1.44773        3.29545        3.29545        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
77	0	0	1.58349        1.4653         1.55804        1.45311        3.37044        3.37044        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
78	0	0	1.59032        1.47134        1.56166        1.45866        3.4529         3.4529         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
79	0	0	1.59083        1.47762        1.55918        1.46427        3.54592        3.54592        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
80	0	0	1.61544        1.48394        1.58282        1.46999        3.64665        3.64665        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
81	0	0	1.61985        1.49038        1.58787        1.47587        3.75016        3.75016        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
82	0	0	1.63016        1.49701        1.59072        1.48181        3.86676        3.86676        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
83	0	0	46.8128        1.62413        1.61321        1.49107        4.00422        4.00422        6.99086        6.99086        0              0              0              0              0              0              0              0              0              0              0              0              5.69067        5.69067        713.602        625.554        0              0              
84	0	0	1.81934        1.55403        1.62476        1.49383        4.16149        4.16149        7.25062        7.25062        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
85	0	0	6.52515        1.60568        1.63815        1.50407        4.33069        4.33069        7.91995        7.93229        0              0              0              0              0              0              0              0              0              0              0              0              4.62253        4.62253        317.385        317.385        0              0              
86	0	0	2.03336        1.61675        1.65172        1.50608        4.50935        4.50935        8.6569         8.60485        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
87	0	0	2.10232        1.63234        1.66326        1.51308        4.72317        4.72317        9.19192        9.15453        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
88	0	0	2.16374        1.65011        1.66936        1.52041        4.99131        4.99131        9.8708         9.83359        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
89	0	0	2.31518        1.66986        1.70916        1.52803        5.32362        5.32362        10.7137        10.692         0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
90	0	0	2.38865        1.69546        1.70236        1.53607        5.69758        5.69429        11.8262        11.8036        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
91	0	0	2.585          1.725          1.7292         1.54445        6.18108        6.17686        13.3112        13.3192        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
92	0	0	2.85617        1.76377        1.75095        1.55337        6.88018        6.86993        15.3361        15.3175        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
93	0	0	3.01628        1.78505        1.77795        1.56273        7.89328        7.88186        15.85          15.85          0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
94	0	0	3.38006        1.80443        1.83783        1.57323        9.51319        9.47293        15.85          15.85          0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
95	0	0	5.16454        1.90414        1.88455        1.5854         13.3895        13.1882        22.0604        19.8831        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
96	0	0	6.3268         1.84852        1.93955        1.59949        33.7572        29.9319        34.0974        27.2485        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
97	0	0	3.99694        1.6819         2.01204        1.61664        0              0              53.2546        53.2546        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
98	0	0	2.22224        1.63934        2.22224        1.63934        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
99	0	0	2.51898        1.67628        2.51898        1.67628        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
100	0	0	4.6033         1.78179        4.6033         1.78179        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
101	0	0	2.97405        1.62996        2.97405        1.62996        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
102	0	0	2.24781        1.62184        2.24781        1.62184        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
103	0	0	3.4296         1.63445        3.4296         1.63445        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
104	0	0	4.36517        1.58699        1.66711        1.56621        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              253.32         232.577        
105	0	0	1.67192        1.57278        1.67192        1.57278        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
106	0	0	1.67406        1.57951        1.67406        1.57951        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
107	0	0	1.69529        1.58638        1.69529        1.58638        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
108	0	0	1.69704        1.59333        1.69704        1.59333        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
109	0	0	1.70393        1.60035        1.70393        1.60035        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
110	0	0	1.71468        1.60751        1.71468        1.60751        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
111	0	0	1.7169         1.61483        1.7169         1.61483        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
112	0	0	1.74253        1.62231        1.74253        1.62231        0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
