i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       alpha          alpha          Li7            Li7            Be7            Be7            Be8            Be8            O16            O16            
144	0	0	2.82653e-08    2.80194e-08    144            2.45929e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
145	0	0	2.71644e-08    2.68497e-08    143            2.44665e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
146	0	0	2.76068e-08    2.73145e-08    143            2.53534e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
147	0	0	2.8567e-08     2.81984e-08    143            1.95254e-10    1              0              0              0              0              0              0              0              0              0              0              6.73255e-11    1              
148	0	0	2.83199e-08    2.79951e-08    143            2.21227e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
149	0	0	2.93004e-08    2.8985e-08     143            2.16041e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
150	0	0	3.00629e-08    2.97696e-08    143            2.27395e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
151	0	0	2.82502e-08    2.79245e-08    142            2.75674e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
152	0	0	2.89295e-08    2.8471e-08     142            2.55745e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
153	0	0	3.02404e-08    2.97954e-08    142            2.41464e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
154	0	0	2.82657e-08    2.78519e-08    141            2.43419e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
155	0	0	2.79926e-08    2.77167e-08    141            2.28656e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
156	0	0	2.83771e-08    2.80289e-08    141            3.21446e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
157	0	0	2.92318e-08    2.87773e-08    141            2.90407e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
158	0	0	3.05358e-08    2.94256e-08    141            2.42641e-10    1              0              0              0              0              0              0              0              0              0              0              6.7894e-10     1              
159	0	0	3.08645e-08    3.04467e-08    141            2.70733e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
160	0	0	2.90512e-08    2.87439e-08    140            2.71257e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
161	0	0	2.91437e-08    2.87891e-08    140            2.87495e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
162	0	0	2.95173e-08    2.9085e-08     140            2.3821e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
163	0	0	2.98389e-08    2.92892e-08    140            2.96567e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
164	0	0	3.01917e-08    2.9935e-08     140            2.56652e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
165	0	0	3.01626e-08    2.98102e-08    140            3.52375e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
166	0	0	3.05934e-08    3.02099e-08    139            2.76088e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
167	0	0	3.0563e-08     3.01829e-08    139            3.2621e-10     1              0              0              0              0              0              0              0              0              0              0              0              0              
168	0	0	3.12692e-08    3.08538e-08    139            3.58428e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
169	0	0	3.26081e-08    3.06579e-08    139            3.56669e-10    1              0              0              0              0              0              0              0              0              0              0              1.54586e-09    1              
170	0	0	3.20458e-08    3.1491e-08     139            2.84061e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
171	0	0	3.25576e-08    3.21121e-08    139            3.28945e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
172	0	0	3.24375e-08    3.17414e-08    139            3.52009e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
173	0	0	3.31966e-08    3.28596e-08    138            3.36984e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
174	0	0	3.33538e-08    3.28867e-08    138            3.51542e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
175	0	0	3.30143e-08    3.25043e-08    137            3.64708e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
176	0	0	3.3288e-08     3.28298e-08    137            3.56918e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
177	0	0	3.34579e-08    3.30623e-08    137            3.65116e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
178	0	0	3.36667e-08    3.30878e-08    137            4.02095e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
179	0	0	3.47319e-08    3.42295e-08    137            3.52742e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
180	0	0	3.48267e-08    3.44816e-08    137            3.45047e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
181	0	0	3.49752e-08    3.45968e-08    137            3.78358e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
182	0	0	3.5501e-08     3.50827e-08    137            4.18353e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              
