i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         deuteron       deuteron       He3            He3            alpha          alpha          Li6            Li6            Be8            Be8            C12            C12            C13            C13            N15            N15            O15            O15            O16            O16            
76	0	0	7.13027e-09    6.94932e-09    193            1.02492e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
77	0	0	7.25579e-09    7.07896e-09    193            1.01477e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
78	0	0	7.43707e-09    7.24464e-09    193            1.11491e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
79	0	0	7.20772e-09    7.04123e-09    193            1.15623e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
80	0	0	7.40791e-09    7.2119e-09     193            1.15845e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
81	0	0	7.30289e-09    7.1761e-09     193            1.07727e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
82	0	0	7.34961e-09    7.19594e-09    193            1.28295e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
83	0	0	7.97303e-09    7.17806e-09    193            1.30477e-10    1              8.99162e-11    1              0              0              0              0              0              0              0              0              0              0              0              0              4.03445e-14    1              5.03722e-10    1              0              0              
84	0	0	7.54989e-09    7.13757e-09    192            1.42486e-10    1              1.95274e-10    1              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
85	0	0	7.638e-09      7.07981e-09    192            1.2683e-10     1              2.69373e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              2.66206e-14    1              1.11341e-10    1              0              0              
86	0	0	7.65046e-09    7.14952e-09    191            1.35979e-10    1              3.61116e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
87	0	0	7.80724e-09    7.25063e-09    191            1.47129e-10    1              3.99147e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
88	0	0	7.95726e-09    7.30128e-09    191            1.70271e-10    1              4.13038e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
89	0	0	7.99576e-09    7.20876e-09    191            1.74413e-10    1              4.57694e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
90	0	0	8.20052e-09    7.4898e-09     191            1.60474e-10    1              4.90929e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
91	0	0	8.13207e-09    7.32242e-09    191            2.08237e-10    1              5.18531e-10    2              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              
