i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
227	0	0	4.06569e-09    4.06569e-09    27             0              0              0              0              
228	0	0	4.06981e-09    4.06981e-09    27             0              0              0              0              
229	0	0	4.12199e-09    4.12199e-09    27             0              0              0              0              
230	0	0	3.98632e-09    3.98632e-09    27             0              0              0              0              
231	0	0	4.2104e-09     4.2104e-09     27             0              0              0              0              
232	0	0	4.30003e-09    4.30003e-09    27             0              0              0              0              
233	0	0	3.99925e-09    3.99925e-09    27             0              0              0              0              
234	0	0	4.04407e-09    4.04407e-09    27             0              0              0              0              
235	0	0	4.01501e-09    4.01501e-09    27             0              0              0              0              
236	0	0	4.16451e-09    4.16451e-09    27             0              0              0              0              
237	0	0	3.98025e-09    3.98025e-09    27             0              0              0              0              
238	0	0	4.31123e-09    4.31123e-09    27             0              0              0              0              
239	0	0	4.1871e-09     4.1871e-09     27             0              0              0              0              
240	0	0	4.39978e-09    4.39978e-09    27             0              0              0              0              
241	0	0	4.13394e-09    4.13394e-09    27             0              0              0              0              
242	0	0	4.42629e-09    4.42629e-09    27             0              0              0              0              
243	0	0	4.39578e-09    4.39578e-09    27             0              0              0              0              
244	0	0	4.45773e-09    4.45773e-09    27             0              0              0              0              
245	0	0	4.22003e-09    4.22003e-09    27             0              0              0              0              
246	0	0	4.54125e-09    4.54125e-09    27             0              0              0              0              
247	0	0	4.61378e-09    4.61378e-09    27             0              0              0              0              
248	0	0	4.27066e-09    4.27066e-09    27             0              0              0              0              
249	0	0	4.41474e-09    4.41474e-09    27             0              0              0              0              
250	0	0	4.28594e-09    4.28594e-09    27             0              0              0              0              
251	0	0	4.56337e-09    4.56337e-09    27             0              0              0              0              
252	0	0	4.51942e-09    4.51942e-09    27             0              0              0              0              
253	0	0	4.37393e-09    4.37393e-09    27             0              0              0              0              
254	0	0	4.5467e-09     4.5467e-09     27             0              0              0              0              
255	0	0	4.5595e-09     4.5595e-09     27             0              0              0              0              
256	0	0	4.40513e-09    4.40513e-09    27             0              0              0              0              
257	0	0	4.46313e-09    4.46313e-09    27             0              0              0              0              
258	0	0	4.47676e-09    4.47676e-09    27             0              0              0              0              
259	0	0	4.90061e-09    4.90061e-09    27             0              0              0              0              
260	0	0	4.66625e-09    4.66625e-09    27             0              0              0              0              
261	0	0	4.69533e-09    4.69533e-09    27             0              0              0              0              
262	0	0	4.48376e-09    4.48376e-09    27             0              0              0              0              
263	0	0	4.65821e-09    4.65821e-09    27             0              0              0              0              
264	0	0	4.73147e-09    4.73147e-09    27             0              0              0              0              
265	0	0	4.72485e-09    4.72485e-09    27             0              0              0              0              
266	0	0	5.10416e-09    5.10416e-09    27             0              0              0              0              
267	0	0	4.72488e-09    4.72488e-09    27             0              0              0              0              
268	0	0	4.67336e-09    4.67336e-09    27             0              0              0              0              
269	0	0	4.76444e-09    4.76444e-09    27             0              0              0              0              
270	0	0	4.86115e-09    4.86115e-09    27             0              0              0              0              
271	0	0	4.74296e-09    4.74296e-09    27             0              0              0              0              
272	0	0	4.78294e-09    4.78294e-09    27             0              0              0              0              
273	0	0	4.82971e-09    4.82971e-09    27             0              0              0              0              
274	0	0	4.71884e-09    4.71884e-09    27             0              0              0              0              
275	0	0	4.72526e-09    4.72526e-09    27             0              0              0              0              
276	0	0	4.90508e-09    4.90508e-09    27             0              0              0              0              
277	0	0	4.89319e-09    4.89319e-09    27             0              0              0              0              
278	0	0	4.93983e-09    4.93983e-09    27             0              0              0              0              
279	0	0	4.89867e-09    4.89867e-09    27             0              0              0              0              
280	0	0	4.94491e-09    4.94491e-09    27             0              0              0              0              
281	0	0	5.03145e-09    5.03145e-09    27             0              0              0              0              
282	0	0	5.12582e-09    5.12582e-09    27             0              0              0              0              
283	0	0	5.16666e-09    5.16666e-09    27             0              0              0              0              
284	0	0	5.04525e-09    5.04525e-09    27             0              0              0              0              
285	0	0	5.16975e-09    5.16975e-09    27             0              0              0              0              
286	0	0	5.29824e-09    5.29824e-09    27             0              0              0              0              
287	0	0	5.34839e-09    5.34839e-09    27             0              0              0              0              
288	0	0	5.16431e-09    5.16431e-09    27             0              0              0              0              
289	0	0	5.31808e-09    5.31808e-09    27             0              0              0              0              
290	0	0	5.21114e-09    5.21114e-09    27             0              0              0              0              
291	0	0	5.30459e-09    5.30459e-09    27             0              0              0              0              
292	0	0	5.42284e-09    5.42284e-09    27             0              0              0              0              
293	0	0	5.44409e-09    5.44409e-09    27             0              0              0              0              
